ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_VIP_negative_alpha7,Parent_VIP_positive_alpha7
1,549,382.4,931.2,0,549,899,0
1,550,390.0,931.5,0,550,899,0
1,551,1202.5,934.0,0,551,881,0
1,552,3763.0,934.5,0,552,872,0
1,553,1743.3333333333333,935.3333333333334,0,553,889,0
1,554,4094.0,937.7142857142857,0,554,885,0
1,555,4110.0,938.0,0,555,885,0
1,556,1113.5,939.5,0,556,936,0
1,557,1981.5,938.5,0,557,0,0
1,558,2044.2857142857142,943.0,0,558,910,0
1,559,3184.4,944.2,0,559,894,0
1,560,2702.5,947.0,0,560,897,0
1,561,2771.0,947.0,0,561,933,0
1,562,3615.714285714286,947.0,0,562,884,0
1,563,1471.3333333333333,949.6666666666666,0,563,919,0
1,564,4150.5,949.5,0,564,0,0
1,565,888.6666666666666,949.6666666666666,0,565,973,0
1,566,3148.2,950.6,0,566,0,19
1,567,3423.0,951.0,0,567,961,0
1,568,888.0,955.0,0,568,973,0
1,569,270.5,956.5,0,569,0,17
1,570,926.5,956.0,0,570,909,0
1,571,3808.0,956.0,0,571,0,0
1,572,903.5,957.5,0,572,918,0
1,573,1877.1666666666667,957.1666666666666,0,573,937,0
1,574,301.0,958.5,0,574,957,0
1,575,1354.2857142857142,960.0,0,575,940,0
1,576,3554.8,960.4,0,576,917,0
1,577,1067.0,964.5,0,577,953,0
1,578,1036.5,966.5,0,578,939,0
1,579,1374.0,967.0,0,579,940,0
1,580,1380.0,966.5,0,580,940,0
1,581,565.6666666666666,968.3333333333334,0,581,955,0
1,582,2797.0,972.0,0,582,945,0
1,583,1840.5,973.5,0,583,937,0
1,584,3675.0,973.0,0,584,923,0
1,585,918.7142857142857,974.0,0,585,982,0
1,586,3582.0,977.0,0,586,979,0
1,587,2714.8333333333335,977.8333333333334,0,587,0,0
1,588,2873.5,978.0,0,588,977,0
1,589,3547.5,980.5,0,589,966,0
